province,municipality,name,id,lon,lat,zone,ptmx,ptmy
CAVITE,TERNATE,"CVT 3071, PRS 92",15049,120.733749,14.31286065,3,471276.1457,1582800.606
CAVITE,TAGAYTAY,"BBM No. 17, Cad 355, Tagaytay , Province of Cavite",14965,120.9113323,14.10613296,3,490425.6345,1559915.762
CEBU,DALAGUETE,"BLBM No. 1, Bo. of Cauayan, Municipality of Dalaguete, Cebu Province",57924,123.5358122,9.811020662,4,558778.3119,1084876.806
CEBU,BOGO,"BBM No. 10, Cad 155, Bogo Cadastre",57690,123.9736461,11.02391388,4,606399.5764,1219146.944
COMPOSTELA VALLEY,PANTUKAN,"COV 15, PRS 92",75157,125.8614817,7.233361342,5A,595141.3716,799865.6634
COMPOSTELA VALLEY,NABUNTURAN,"COV 4056, PRS 92",75149,125.9884053,7.653140166,5A,609056.2187,846320.2456
COTABATO,POLOMOLOK,"BLLM No. 1, Municipality of Polomolok, Province of Cotabato",75604,125.0625482,6.242073838,5A,506921.5646,690162.2506
COTABATO,BUAYAN,"BLLM No. 41, Pls 219, Buayan Public Land Subdivision",75230,125.3042191,6.051395859,5A,533676.9116,669087.1326
DAVAO,TALAINGOD,"DVA 134, PRS 92",76823,125.5735747,7.633658001,5A,563286.5165,844082.676
DAVAO,TALAINGOD,"DVA 3600, PRS 92",76824,125.6319226,7.65586972,5A,569721.089,846548.0249
DAVAO DEL NORTE,TAGUM,"BLLM No. 17, Cad 276, Tagum Cadastre",76616,125.8407561,7.385578105,5A,592820.8535,816695.2548
DAVAO DEL NORTE,TAGUM,"BLLM No. 113, Cad 276, Tagum Cadastre",76559,125.6021506,7.357522563,5A,566481.4664,813550.059
DAVAO DEL SUR,DAVAO,"DVS 3235, PRS 92",77069,125.5114066,7.014309583,5A,556504.8214,775583.8813
DAVAO DEL SUR,GUIANGA,"BLLM No. 84, Cad 281, Guianga Cadastre Extension",77414,125.3717005,7.153629468,5A,541056.248,790975.4901
DAVAO ORIENTAL,MANAY,"MBM No. 1, Cad 289, Manay Cadastre",78444,126.4668648,7.092294516,5A,662060.5342,784432.7289
DAVAO ORIENTAL,CATEEL,"PBM No. 2, Cad 287, Cateel Cadastre",78359,126.3478493,7.898474146,5A,648635.4298,873564.8218
DINAGAT ISLANDS,BASILISA (RIZAL),"SRN 3501, PRS 92",78602,125.6040516,10.13590334,5A,566198.7744,1120821.903
DINAGAT ISLANDS,BASILISA (RIZAL),"SRN 3505, PRS 92",78606,125.5905622,10.12882949,5A,564721.8248,1120036.808
EASTERN SAMAR,MERCEDES,"S 89, Cad 751, Mercedes Cadastre",87444,125.6840306,11.12291296,5,574723.73,1230009.72
EASTERN SAMAR,CAN AVID,"BLLM No. 1, Cad 826 D, Can avid Cadastre",87152,125.4492219,11.99874139,5,548920.3134,1326836.118
GUIMARAS,BUENAVISTA,"GMS 3007, PRS 92",58631,122.6813038,10.73384394,4,465140.7517,1186909.895
GUIMARAS,NUEVA VALENCIA,"GMS 20, PRS 92",58653,122.5953117,10.39857688,4,455686.707,1149839.736
IFUGAO,LAGAWE,"BBM No. 34, Cad 996 D, Lagawe Cadastre",15313,121.2573442,16.81137542,3,527429.865,1859244.291
IFUGAO,KIANGAN,"BLBM No. 2, Bo. of Lamut, Municipality of Kiangan, Province of Ifugao",15276,121.2224132,16.65104646,3,523726.4447,1841498.505
ILOCOS NORTE,LAOAG,"MBM No. 34, Cad 195, Laoag Cadastre",16215,120.5727254,18.16977754,3,454794.2525,2009604.164
ILOCOS NORTE,BADOC,"KM. M. No. 37, Badoc Paoay , Municipality of Badoc, Province of Ilocos Norte",15621,120.4768944,17.96764722,3,444591.7655,1987259.915
ILOCOS SUR,CANDON,"MBM No. 19, Cad 103, Candon Cadastre",17656,120.4903632,17.21339881,3,445794.0463,1903784.861
ILOCOS SUR,LIDLIDDA,"BBM No. 29, Cad 936 D, Lidlidda Cadastre",17751,120.5236317,17.24893472,3,449342.2988,1907708.376
ILOILO,CARLES,"BBM No. 39, Pcadm 478 D, Carles Photo Cadastral Mapping",59774,123.2315739,11.48062895,4,525265.37,1269498.94
ILOILO,DUMANGAS,"BLBM No. 1, Bo. of Balabag, Municipality of Dumangas, Province of Iloilo",60135,122.6564587,10.84272122,4,462436.6514,1198954.962
ISABELA,GAMU,"BLLM No. 12, Cad 1352 D, Gamu Cadastre",19528,121.8042792,17.05068179,3,585620.5531,1885883.603
ISABELA,SANTIAGO,"BLLM No. 73, Cad 211, Santiago Cadastre",20667,121.4715355,16.6627287,3,550299.4586,1842837.345
KALINGA,PASIL,"KAL 3179, PRS 92",20908,121.1794206,17.39843828,3,519064.2681,1924199.112
KALINGA,TANUDAN,"BLLM No. 1, Cad 1012 D, Tanudan Cadastre",45022,121.2307861,17.268,3,524539.4298,1909770.375
LA UNION,LUNA,"BBM No. 53, Cad 775 D, Luna Cadastre",21921,120.3419777,16.82545575,3,429866.64,1860901.12
LA UNION,NAGUILIAN,"BBM No. 40, Cad 437 D, Naguilian Cadastre",22056,120.3838755,16.51028314,3,434224.77,1826009.91
LAGUNA,STA. MARIA,"MBM No. 2, Pls 40, Sta. Maria Public Land Subdivision",24870,121.4508282,14.48886536,3,548598.6979,1602303.548
LAGUNA,STA. MARIA,"BBM No. 14, Cad 720 D, Sta. Maria Cadastre",24792,121.4258287,14.47096726,3,545907.42,1600318.24
LANAO DEL NORTE,LALA,"BLLM No. 66, Pls 13, Lala Public Land Subdivision",45188,123.8016639,7.915783333,4A,588395.5003,875323.8123
LANAO DEL NORTE,CAROMATAN,"BLLM No. 8, Pls 326, Caromatan Public Land Subdivision",45229,123.7382248,7.79338721,4A,581423.8278,861774.8887
LANAO DEL SUR,TAMPARAN,"BLLM No. 4, Cad 111, Tamparan Cadastre",78908,124.3335008,7.815619017,5A,426491.517,864220.3445
LANAO DEL SUR,TUBURAN,"BLLM No. 6, Pls 127, Tuburan Public Land Subdivision",78917,124.0975442,7.643058516,5A,400425.5269,845184.4233
LEYTE,SAN MIGUEL,"BBM No. 32, Cad 824 D, San Miguel Cadastre",91099,124.7886741,11.36365463,5,476934.3,1256559.13
LEYTE,STA. FE,"BLLM No. 3, Cad 495 D, Sta. Fe Cadastre",91169,124.9604876,11.19218533,5,495684.766,1237585.739
MAGUINDANAO,PARANG,"BBM No. 27, Pls 263, Parang Public Land Subdivision",75560,124.358642,7.351379086,5A,429188.621,812876.6875
MAGUINDANAO,BULUAN,"BBM No. 9, Pls 73, Buluan Public Land Subdivision",75330,124.7245814,6.788280925,5A,469555.1066,750567.9626
MAGUINDANAO COTABATO,COTABATO,"MGD 2, PRS 92",78953,124.2426607,7.221199278,5A,416358.5001,798500.2139
MAGUINDANAO SULTAN,SULTAN KUDARAT,"BLLM No. 1, Cad 123, Sultan Kudarat Cadastre",78955,124.2457009,7.225519844,5A,416695.0731,798977.4632
MARINDUQUE,MOGPOG,"BBM No. 34, Cad 692 D, Mogpog Cadastre",25863,121.9442586,13.48925222,3,602233.6509,1491867.692
MARINDUQUE,MOGPOG,"BBM No. 5, Cad 692 D, Mogpog Cadastre",25881,121.8655122,13.47613528,3,593712.385,1490385.097
MASBATE,BATUAN,"MST 3158, PRS 92",63865,123.7255604,12.40622966,4,578894.1347,1371976.607
MASBATE,MILAGROS,"BLLM No. 15, Pls 602 D, Milagros Public Land Subdivision",64259,123.3179244,12.08748389,4,534610.4754,1336632.215
METRO MANILA,QUEZON CITY,"CM No. 130, Tala Estate",38082,121.0613173,14.75987694,3,506601.7696,1632239.511
METRO MANILA,QUEZON CITY,"LM No. 16, Tala Estate",38288,121.0129182,14.7532332,3,501390.8911,1631503.624
MISAMIS OCCIDENTAL,TUDELA,"P 129, Cad 983 D, Tudela Cadastre",46085,123.8424459,8.266107284,4A,592812.457,914076.946
